FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.8875,8875,K-64,KORPPAANMÄENTIE,,Katu,PILARITERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.891919522535442 60.20575589555073)
Puurekisteri_piste.8878,8878,K-9245,MÄKELÄNKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.944088437404794 60.211712469199774)
Puurekisteri_piste.8881,8881,K-5390,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947544110220928 60.177287600775564)
Puurekisteri_piste.8882,8882,K-5391,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947670751306763 60.17726163629245)
Puurekisteri_piste.8883,8883,K-5392,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947813070791053 60.177239886879995)
Puurekisteri_piste.8885,8885,K-5394,PITKÄNSILLANRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.948095007299543 60.177197195933985)
Puurekisteri_piste.8042,8042,P-33016-128,,KAISANIEMENPUISTO,Puisto,AITAORAPIHLAJA,Crataegus,grayana,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.944308451459804 60.174294325298945)
Puurekisteri_piste.8043,8043,P-33016-129,,KAISANIEMENPUISTO,Puisto,AITAORAPIHLAJA,Crataegus,grayana,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94428361468777 60.17432406409304)
Puurekisteri_piste.8044,8044,P-34019-174,,ALPPIPUISTO (ETELÄ),Puisto,TUOKSUPOPPELI,Populus,suaveolens,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939551067285233 60.187028183599416)
Puurekisteri_piste.8045,8045,P-34019-175,,ALPPIPUISTO (ETELÄ),Puisto,TUOKSUPOPPELI,Populus,suaveolens,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93952957506126 60.1870405456682)
Puurekisteri_piste.8046,8046,P-34019-176,,ALPPIPUISTO (ETELÄ),Puisto,METSÄHAAPA,Populus,tremula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939506421133544 60.187037253236866)
Puurekisteri_piste.8047,8047,P-44017-222,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96357698867697 60.18615712539823)
Puurekisteri_piste.8048,8048,P-44017-223,,KATRI VALAN PUISTO,Puisto,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96347283414307 60.186181876222875)
Puurekisteri_piste.8049,8049,P-44017-224,,KATRI VALAN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.963449697732013 60.18619341876799)
Puurekisteri_piste.8050,8050,P-33054-53,,HESPERIAN ESPLANADI,Puisto,HEVOSKASTANJA,Aesculus,hippocastanum,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.926462660196233 60.1774440942024)
Puurekisteri_piste.8051,8051,P-33054-183,,HESPERIAN ESPLANADI,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.91489167049294 60.17622812415128)
Puurekisteri_piste.8052,8052,P-43067-383,,TERVASAARI,Puisto,POPPELI/HAAPA,Populus,sp.,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96715315467709 60.17332794359694)
Puurekisteri_piste.8053,8053,P-42003-94,,MYLLYRINNE,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.9592086742035 60.15984263283996)
Puurekisteri_piste.8054,8054,P-42003-95,,MYLLYRINNE,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.959267893146844 60.15986260994001)
Puurekisteri_piste.8055,8055,P-42003-96,,MYLLYRINNE,Puisto,KOTIPIHLAJA,Sorbus,aucuparia,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95937672177246 60.15985020113052)
Puurekisteri_piste.8056,8056,P-42003-97,,MYLLYRINNE,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95985459247546 60.15977865073862)
Puurekisteri_piste.8057,8057,P-44017-218,,KATRI VALAN PUISTO,Puisto,Määrittelemättä,Määrittelemättä,Määrittelemättä,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96349918016863 60.18609147915359)
Puurekisteri_piste.8058,8058,P-44017-219,,KATRI VALAN PUISTO,Puisto,VUORIJALAVA,Ulmus,glabra,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96358019416987 60.1860766230152)
Puurekisteri_piste.8059,8059,P-44017-220,,KATRI VALAN PUISTO,Puisto,VUORIJALAVA,Ulmus,glabra,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96373405641692 60.186128236730625)
Puurekisteri_piste.8061,8061,K-929,RATAPIHANTIE,,Katu,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93504747202087 60.197537033096204)
Puurekisteri_piste.8062,8062,K-9290,TURSONTIE,,Katu,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941680211911425 60.21337042644368)
Puurekisteri_piste.8063,8063,P-43067-354,,TERVASAARI,Puisto,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.969777534460516 60.17291001737901)
Puurekisteri_piste.8065,8065,K-9122,HERNESAARENRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.927650709174095 60.14996339991396)
Puurekisteri_piste.8066,8066,K-9123,HERNESAARENRANTA,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.92755608939506 60.14988405381207)
Puurekisteri_piste.8067,8067,K-7203,ITÄMERENKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.907029483272634 60.16317091683907)
Puurekisteri_piste.8068,8068,K-7204,ITÄMERENKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.906902516941237 60.16316623661791)
Puurekisteri_piste.8073,8073,K-9735,OULUNKYLÄNTIE,,Katu,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.965136185426214 60.2225783700195)
Puurekisteri_piste.8074,8074,K-6959,BULEVARDI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93457726151456 60.16355025910754)
Puurekisteri_piste.8075,8075,K-696,RAUTATIELÄISENKATU,,Katu,PYLVÄSHAAPA,Populus,tremula,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.937810249151713 60.20149543440122)
Puurekisteri_piste.8076,8076,K-6960,BULEVARDI,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.934166038699694 60.163412350940305)
Puurekisteri_piste.8077,8077,K-6961,BULEVARDI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.934019959788916 60.16336515555167)
Puurekisteri_piste.8841,8841,K-5805,,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94002723854254 60.17941436064944)
Puurekisteri_piste.8081,8081,P-53003-1164,,TULLISAAREN KARTANO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.033954005524794 60.18089494410267)
Puurekisteri_piste.8083,8083,K-7473,POSTIKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.938791784715818 60.171090014287174)
Puurekisteri_piste.8087,8087,K-7699,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.859651493198225 60.16176130949576)
Puurekisteri_piste.8088,8088,K-77,KORPPAANMÄENTIE,,Katu,PILARITERVALEPPÄ,Alnus,glutinosa,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.892044788462165 60.206243728960196)
Puurekisteri_piste.8089,8089,P-44017-252,,KATRI VALAN PUISTO,Puisto,METSÄMÄNTY,Pinus,sylvestris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.965478700461716 60.18666087823659)
Puurekisteri_piste.8090,8090,P-44017-253,,KATRI VALAN PUISTO,Puisto,METSÄMÄNTY,Pinus,sylvestris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.965520029559983 60.18665015310831)
Puurekisteri_piste.8091,8091,P-44017-246,,KATRI VALAN PUISTO,Puisto,SIPERIANSEMBRA,Pinus,cembra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.963912333684164 60.187044577442784)
Puurekisteri_piste.8092,8092,P-32016-22,,ENSIPUISTIKKO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941283290727238 60.155438317401114)
Puurekisteri_piste.8093,8093,P-42005-970,,KAIVOPUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95417298102615 60.15667739566878)
Puurekisteri_piste.8094,8094,P-42005-971,,KAIVOPUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.954234725701035 60.15661909408591)
Puurekisteri_piste.8095,8095,K-7874,SÄRKINIEMENTIE,,Katu,METSÄMÄNTY,Pinus,sylvestris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.87675510816251 60.15377301256721)
Puurekisteri_piste.8097,8097,K-7876,ITÄLAHDENKATU,,Katu,RAUDUSKOIVU,Betula,pendula,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.88090638021567 60.150813621271084)
Puurekisteri_piste.8098,8098,K-7877,ITÄLAHDENKATU,,Katu,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.880879647387726 60.1508870316538)
Puurekisteri_piste.8100,8100,K-7601,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.942248349129365 60.1673091750521)
Puurekisteri_piste.8101,8101,K-7602,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.942144289773417 60.16738512334021)
Puurekisteri_piste.8102,8102,K-7603,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.9422864348723 60.1674313231125)
Puurekisteri_piste.8103,8103,K-7604,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.942392479286205 60.16736129811277)
Puurekisteri_piste.8104,8104,K-7852,SÄRKINIEMENTIE,,Katu,KOTIPIHLAJA,Sorbus,aucuparia,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.8764150622603 60.154399558530734)
Puurekisteri_piste.8105,8105,K-9225,MÄKELÄNKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.944415808741198 60.210982721164044)
Puurekisteri_piste.8106,8106,K-9226,MÄKELÄNKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94438267774394 60.21105883742342)
Puurekisteri_piste.8109,8109,P-54037-68,,HERTTONIEMENKARTANO,Puisto,KUUSI,Picea,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.041570027871305 60.18888345641127)
Puurekisteri_piste.8110,8110,P-32008-157,,URSININKALLIO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947902810290536 60.15488405676051)
Puurekisteri_piste.8111,8111,P-32008-158,,URSININKALLIO,Puisto,LEHMUS,Tilia,sp.,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.948071354025288 60.15491121092777)
Puurekisteri_piste.8112,8112,K-2900,TIETOKUJA,,Katu,METSÄLEHMUS,Tilia,cordata,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.88176736477599 60.201272221822734)
Puurekisteri_piste.8115,8115,P-53004-104,,STANSVIKINKARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.031166454625104 60.1639788732257)
Puurekisteri_piste.8116,8116,P-53004-105,,STANSVIKINKARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.031121440031225 60.1639595670971)
Puurekisteri_piste.8118,8118,P-53004-107,,STANSVIKINKARTANO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.031033981545143 60.1639420276715)
Puurekisteri_piste.8119,8119,P-53004-108,,STANSVIKINKARTANO,Puisto,RAITA,Salix,caprea,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.0310724822261 60.16396146581525)
Puurekisteri_piste.8120,8120,P-53004-109,,STANSVIKINKARTANO,Puisto,RAITA,Salix,caprea,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03111368103183 60.16397612411316)
Puurekisteri_piste.8121,8121,P-53004-110,,STANSVIKINKARTANO,Puisto,RAITA,Salix,caprea,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03110098935491 60.16400511699642)
Puurekisteri_piste.8122,8122,P-53004-111,,STANSVIKINKARTANO,Puisto,RAITA,Salix,caprea,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03104241471814 60.16398843218717)
Puurekisteri_piste.8125,8125,P-33102-10,,LAPINLAHDEN PUISTIKKO,Puisto,VUORIJALAVA,Ulmus,glabra,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.931383135116302 60.16631975497097)
Puurekisteri_piste.8126,8126,P-33102-11,,LAPINLAHDEN PUISTIKKO,Puisto,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.931676115551195 60.166281224801466)
Puurekisteri_piste.8127,8127,P-33102-12,,LAPINLAHDEN PUISTIKKO,Puisto,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.931822787887423 60.1662606598331)
Puurekisteri_piste.8128,8128,P-53003-1479,,TULLISAAREN KARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (25.03695754285509 60.18068275927491)
Puurekisteri_piste.8129,8129,P-53003-1480,,TULLISAAREN KARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.037023911341908 60.180684228614396)
Puurekisteri_piste.8130,8130,P-53003-1481,,TULLISAAREN KARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.037016593990902 60.180696019644444)
Puurekisteri_piste.8131,8131,P-53003-1482,,TULLISAAREN KARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.037091629689016 60.18073510502066)
Puurekisteri_piste.8139,8139,P-33054-141,,HESPERIAN ESPLANADI,Puisto,VUORIJALAVA,Ulmus,glabra,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.919266801978914 60.17615634251194)
Puurekisteri_piste.8142,8142,P-33016-109,,KAISANIEMENPUISTO,Puisto,OMENAPUU,Malus,sp.,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94492036657466 60.17303239054386)
Puurekisteri_piste.8144,8144,P-43001-157,,LAIVASTOPUISTO,Puisto,SEMBRAMÄNTY,Pinus,cembra,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.976009196187196 60.16877316716555)
Puurekisteri_piste.8145,8145,P-43001-158,,LAIVASTOPUISTO,Puisto,SEMBRAMÄNTY,Pinus,cembra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.976064488266505 60.16877215944524)
Puurekisteri_piste.8146,8146,P-43001-159,,LAIVASTOPUISTO,Puisto,SEMBRAMÄNTY,Pinus,cembra,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.976116855601283 60.16879281041134)
Puurekisteri_piste.8147,8147,P-53003-1492,,TULLISAAREN KARTANO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.036016311643063 60.180844006997795)
Puurekisteri_piste.8149,8149,K-7436,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.937656960584388 60.17016229577161)
Puurekisteri_piste.8150,8150,K-7437,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.937526769844364 60.17025359157437)
Puurekisteri_piste.8154,8154,P-33016-288,,KAISANIEMENPUISTO,Puisto,RAUDUSKOIVU,Betula,pendula,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.946963621818618 60.17397901154748)
Puurekisteri_piste.8156,8156,P-33016-290,,KAISANIEMENPUISTO,Puisto,HIESKOIVU,Betula,pubescens,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94725460797996 60.17398555289804)
Puurekisteri_piste.8158,8158,K-7376,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939993962024293 60.168818098101035)
Puurekisteri_piste.8159,8159,K-7377,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939874764661738 60.168898713971515)
Puurekisteri_piste.8160,8160,K-7379,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939471433158875 60.169170186040084)
Puurekisteri_piste.8162,8162,K-8035,EHRENSTRÖMINTIE,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.962804777255013 60.15685835926035)
Puurekisteri_piste.8163,8163,P-42005-982,,KAIVOPUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95430211964247 60.15688522207528)
Puurekisteri_piste.8164,8164,P-42005-983,,KAIVOPUISTO,Puisto,TERVALEPPÄ,Alnus,glutinosa,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.954405952695762 60.15690274332419)
Puurekisteri_piste.8167,8167,K-7448,PAASIKIVENAUKIO,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.935476006429468 60.170830771824896)
Puurekisteri_piste.8168,8168,K-7449,PAASIKIVENAUKIO,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.9354010818863 60.17088250459616)
Puurekisteri_piste.8169,8169,K-745,RATAPIHANTIE,,Katu,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.932914805443776 60.20360364475036)
Puurekisteri_piste.8170,8170,K-7450,PAASIKIVENAUKIO,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.935329294157995 60.170935255995055)
Puurekisteri_piste.8171,8171,K-7671,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94185469188168 60.167718065218665)
Puurekisteri_piste.8172,8172,K-7672,MANNERHEIMINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941789162379003 60.167772107213096)
Puurekisteri_piste.8239,8239,P-54037-585,,HERTTONIEMENKARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.045442705926472 60.18972977698206)
Puurekisteri_piste.8240,8240,P-54037-586,,HERTTONIEMENKARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.045411850280342 60.18972980602355)
Puurekisteri_piste.8241,8241,P-54037-587,,HERTTONIEMENKARTANO,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.04540822367825 60.1897198010534)
Puurekisteri_piste.8242,8242,P-42005-1040,,KAIVOPUISTO,Puisto,VAAHTERA,Acer,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96036785372747 60.15580755771786)
Puurekisteri_piste.8245,8245,P-42001-417,,TÄHTITORNIN VUORI,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95496007385499 60.162502944590294)
Puurekisteri_piste.8248,8248,K-1391,MAISTRAATINKATU,,Katu,METSÄTAMMI,Quercus,robur,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.92288219024403 60.19751168106986)
Puurekisteri_piste.8250,8250,P-33253-67,,TOIVO KUULAN PUISTO,Puisto,RAUDUSKOIVU,Betula,pendula,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.911796033526027 60.178508033765546)
Puurekisteri_piste.8252,8252,P-33253-69,,TOIVO KUULAN PUISTO,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.91187502756515 60.17855874862514)
Puurekisteri_piste.8253,8253,K-4745,HELSINGINKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.954671294833762 60.18722796881498)
Puurekisteri_piste.8254,8254,K-4236,VETURITIE,,Katu,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.92957989430679 60.19331419081776)
Puurekisteri_piste.8255,8255,K-4258,PORVOONKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.937785354383127 60.194224464343534)
Puurekisteri_piste.25388,25388,K-39443,KALLVIKINTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (25.13526747360181 60.20753154484913)
Puurekisteri_piste.8257,8257,P-53004-211,,STANSVIKINKARTANO,Puisto,METSÄMÄNTY,Pinus,sylvestris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.029290206792286 60.16256746180091)
Puurekisteri_piste.8261,8261,P-34010-50,,JOSAFATINKALLIOT,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.943912298006296 60.186685081671406)
Puurekisteri_piste.8262,8262,P-34010-51,,JOSAFATINKALLIOT,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.943915127983765 60.18669586949844)
Puurekisteri_piste.8263,8263,P-34010-52,,JOSAFATINKALLIOT,Puisto,TERVALEPPÄ,Alnus,glutinosa,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94393112388501 60.18669961926363)
Puurekisteri_piste.8266,8266,P-53003-1422,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.036194878451735 60.17934572975583)
Puurekisteri_piste.8267,8267,P-53003-1423,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.0362144373889 60.17932977251498)
Puurekisteri_piste.8268,8268,P-53003-1869,,TULLISAAREN KARTANO,Puisto,METSÄKUUSI,Picea,abies,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (25.023482901569615 60.177570045979685)
Puurekisteri_piste.8274,8274,P-24032-120,,MUNKKINIEMEN PUISTOTIE PUISTOKAISTAT,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.881189207813335 60.19711442705908)
Puurekisteri_piste.8275,8275,P-24032-121,,MUNKKINIEMEN PUISTOTIE PUISTOKAISTAT,Puisto,ISOLEHTILEHMUS,Tilia,platyphyllos,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.881118595796575 60.19712847930631)
Puurekisteri_piste.8277,8277,P-53003-437,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.027967712316514 60.17839169057662)
Puurekisteri_piste.8278,8278,P-53003-438,,TULLISAAREN KARTANO,Puisto,RAUDUSKOIVU,Betula,pendula,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.027976455710657 60.17841519527743)
Puurekisteri_piste.8280,8280,K-9211,KALERVONKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.946880573379637 60.21050566916119)
Puurekisteri_piste.8281,8281,K-9212,KALERVONKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94678604282828 60.21047571041334)
Puurekisteri_piste.8282,8282,K-9213,KALERVONKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.946594849572993 60.21068397435756)
