FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.98395,98395,P-48039-48,,Leikkipuisto LINNUNRATA,Puisto,TAMMI,Quercus,sp.,,,Helsinki/MAKA,2026-02-27,POINT (25.00600565232299 60.28149073555579)
Puurekisteri_piste.100336,100336,P-26092-178,,HILAPELTO,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.845832778550452 60.23865491649143)
Puurekisteri_piste.100337,100337,P-26092-179,,HILAPELTO,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.84607376602884 60.238722982558734)
Puurekisteri_piste.100338,100338,P-26092-180,,HILAPELTO,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.845983640375792 60.23867303615419)
Puurekisteri_piste.100339,100339,P-26092-181,,HILAPELTO,Puisto,PIHTA,Abies,sp.,,,Helsinki/MAKA,2026-02-27,POINT (24.846142849580588 60.238609764494704)
Puurekisteri_piste.96931,96931,K-64743,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.87991820680331 60.213997848372095)
Puurekisteri_piste.96932,96932,K-64744,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.880128705951613 60.214049542436605)
Puurekisteri_piste.96933,96933,K-64745,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.880067708962113 60.21396898891312)
Puurekisteri_piste.96934,96934,K-64746,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.88048896214142 60.21398937441622)
Puurekisteri_piste.96935,96935,K-64747,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.88065912859505 60.21396625554817)
Puurekisteri_piste.96936,96936,K-64748,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.880445582646807 60.213909599959216)
Puurekisteri_piste.96937,96937,K-64749,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.88061498674537 60.21388533591923)
Puurekisteri_piste.96938,96938,K-64750,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.88100173570621 60.21392650483074)
Puurekisteri_piste.96939,96939,K-64751,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.881224753599454 60.213906484693055)
Puurekisteri_piste.96940,96940,K-64752,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.881225032242977 60.21382942013212)
Puurekisteri_piste.96941,96941,K-64753,PITÄJÄNMÄENTIE,,Katu,PYLVÄSTAMMI,Quercus,robur,,,Helsinki/MAKA,2026-02-27,POINT (24.88097367768536 60.213846744278584)
Puurekisteri_piste.96942,96942,K-64754,PITÄJÄNMÄENTIE,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.882972514004333 60.21393607875604)
Puurekisteri_piste.96943,96943,K-64755,PITÄJÄNMÄENTIE,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.883053943049724 60.21393615055659)
Puurekisteri_piste.96944,96944,K-64756,PITÄJÄNMÄENTIE,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.883149195282307 60.21398855571561)
Puurekisteri_piste.96945,96945,K-64757,PITÄJÄNMÄENTIE,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.883087989850804 60.21396452122932)
Puurekisteri_piste.96946,96946,K-64758,PITÄJÄNMÄENTIE,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.883152866661376 60.213941033822024)
Puurekisteri_piste.96947,96947,P-25012-1,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.876650657293265 60.214575121521634)
Puurekisteri_piste.96948,96948,P-25012-2,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.876557297760517 60.21453494611268)
Puurekisteri_piste.96949,96949,P-25012-3,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.876456898287184 60.2144927909511)
Puurekisteri_piste.96950,96950,P-25012-4,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.876365876888865 60.2144526473911)
