FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.9884,9884,P-42005-963,,KAIVOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,50 - 70 cm,,Helsinki/MAKA,2026-02-27,POINT (24.953748652292784 60.157501781496585)
Puurekisteri_piste.9885,9885,P-42005-964,,KAIVOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.953887595458983 60.15748112309778)
Puurekisteri_piste.10443,10443,K-7792,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86600587613306 60.15658476772064)
Puurekisteri_piste.10445,10445,K-7795,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.866499608613722 60.15658129023992)
Puurekisteri_piste.10446,10446,K-7796,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.867237260977987 60.15661632380704)
Puurekisteri_piste.10447,10447,K-7797,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.867308007920304 60.156626853420136)
Puurekisteri_piste.10448,10448,K-7798,ISOKAARI,,Katu,OMENAPUU,Malus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.86750299394627 60.15663931763354)
Puurekisteri_piste.10449,10449,K-4170,VELLAMONKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96595084153303 60.19607607158733)
Puurekisteri_piste.10450,10450,K-4171,VELLAMONKATU,,Katu,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.965874667375896 60.19613641159765)
Puurekisteri_piste.10451,10451,K-4323,ALEKSIS KIVEN KATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.940466437101502 60.194476475361796)
Puurekisteri_piste.10452,10452,K-4324,ALEKSIS KIVEN KATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94036695760388 60.19452414904074)
Puurekisteri_piste.10455,10455,K-362,VÄINÖ AUERIN KATU,,Katu,SUOMENPIHLAJA,Sorbus,hybrida,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.964174616985886 60.206994926317456)
